property_id,address,sale_date,owner,status
2131238842,"905 Dorothy St, Houston, Tx 77008",2026-07-09,Terra Holdings Group Inc,new_not_on_map
2131044972,"841 Rutland St, Houston, Tx 77007",2026-07-08,Jones & Co Developments Llc,new_not_on_map
2131191542,"1115 Adele St, Houston, Tx 77009",2026-06-26,Havenridge Investments Llc,new_not_on_map
2131437247,"205 E 24th St, Houston, Tx 77008",2026-06-02,Thirty Four Ventures Llc,new_not_on_map
2131283630,"1624 Heights Blvd, Houston, Tx 77008",2026-06-16,Burco Holdings Llc,new_not_on_map
2131208578,"303 Bayland Ave, Houston, Tx 77009",2026-07-07,303 Bayland Partners Llc,new_not_on_map
2131387479,"932 W Temple St, Houston, Tx 77009",2026-07-01,Harbinger Holdings Rei-ga Llc,new_not_on_map
2131318105,"122 Redan St, Houston, Tx 77009",2026-06-18,Bmi Investments Incorporated,already_on_map_deed
2131074923,"707 E 6th 1/2 St, Houston, Tx 77007",2026-06-17,Tomo Development Llc,new_not_on_map
2131145361,"2052 Columbia St, Houston, Tx 77008",2026-06-18,Classic Estate Homes Llc,attach_to_existing_pin:pmt_2052-columbia-st-77008
2131156653,"2715 Houston Ave, Houston, Tx 77009",2026-06-09,White Oak Jl Investments Llc,new_not_on_map
2131186526,"404 W 21st St, Houston, Tx 77008",2026-06-03,Ashland Street Partners Lp,new_not_on_map
2131187480,"1818 N Shepherd Dr, Houston, Tx 77008",2026-06-02,Elite Dermatology Holdings Llc,new_not_on_map
2131187484,"1808 N Shepherd Dr, Houston, Tx 77008",2026-06-02,Elite Dermatology Holdings Llc,new_not_on_map
2131191607,"1025 Adele St, Houston, Tx 77009",2026-07-01,Espn Homes Llc,new_not_on_map
2131194086,"726 E 26th St, Houston, Tx 77009",2026-06-18,Terra Holdings Llc,new_not_on_map
2131200768,"902 W 22nd St, Houston, Tx 77008",2026-07-08,Sandcastle Homes Inc,new_not_on_map
2131201005,"946 W 21st St, Houston, Tx 77008",2026-07-08,Onyx Land Partners Llc,new_not_on_map
2131207218,"820 E 29th St, Houston, Tx 77009",2026-06-04,Lazy River Properties Llc,new_not_on_map
2131218924,"1516 Lawrence St, Houston, Tx 77008",2026-07-10,Brownstone Living Llc,new_not_on_map
2131240334,"745 E 11th 1/2 St, Houston, Tx 77008",2026-06-11,1111 Studewood Wcp Llc,new_not_on_map
2131282833,"205 W 24th St, Houston, Tx 77008",2026-06-12,205 Realty Llc,new_not_on_map
2131318291,"1211 Gibbs St, Houston, Tx 77009",2026-06-29,Esma Fresh Produce Llc,new_not_on_map
2131360701,"1032 Alexander St, Houston, Tx 77008",2026-07-01,Big Dog Real Property Investments Llc,new_not_on_map
2131360892,"930 Dorothy St, Houston, Tx 77008",2026-06-22,Brownstone Living Llc,new_not_on_map
